show_id,cast_id
s115,288
s115,289
s115,290
s115,291
s116,292
s116,293
s116,294
s116,295
s116,296
s116,297
s116,298
s116,299
s116,300
s116,301
s117,302
s117,303
s117,304
s117,305
s117,306
s117,307
s117,308
s117,309
s119,310
s119,311
s119,312
s119,313
s119,314
s119,315
s123,316
s123,317
s123,318
s123,319
s123,320
s123,321
s123,322
s123,323
s127,324
s127,325
s127,326
s127,327
s127,328
s127,329
s127,330
s127,331
s128,332
s128,333
s128,334
s128,335
s128,336
s128,337
s128,338
s128,339
s128,340
s128,341
s128,342
s128,343
s128,344
s128,345
s128,346
s130,347
s130,348
s130,349
s130,350
s130,351
s130,352
s130,353
s130,354
s130,355
s130,356
s132,63
s132,357
s132,358
s132,359
s132,360
s132,361
s132,362
s132,363
s132,364
s132,365
s132,366
s132,367
s134,368
s134,369
s134,370
s134,371
s134,372
s134,373
s134,374
s134,375
s134,376
s134,377
s135,63
s135,378
s135,379
s135,380
s135,381
s135,124
s135,382
s135,383
s135,384
s135,385
s135,386
s135,387
s135,388
s136,389
s136,390
s136,391
s136,392
s136,393
s136,394
s136,395
s136,396
s136,397
s136,398
s136,399
s137,400
s137,401
s137,402
s137,403
s137,114
s137,404
s137,405
s137,406
s137,407
s137,408
s138,409
s138,410
s138,411
s138,412
s138,413
s138,414
s138,415
s138,416
s138,417
s138,342
s138,418
s138,419
s138,420
s138,421
s139,422
s139,423
s139,424
s139,425
s139,426
s139,427
s139,428
s139,429
s139,430
s139,431
s140,432
s140,433
s140,434
s140,435
s140,436
s140,437
s140,438
s140,439
s140,440
s140,441
s140,442
s140,443
s140,444
s140,383
s141,445
s141,446
s141,447
s141,448
s141,449
s141,450
s141,451
s142,452
s142,453
s142,454
s142,455
s142,456
s142,457
s142,458
s142,459
s143,460
s143,461
s143,122
s143,462
s143,463
s143,464
s143,465
s143,466
s143,467
s143,468
s143,469
s143,470
s144,112
s144,471
s144,472
s144,473
s144,474
s144,475
s144,476
s144,477
s145,478
s145,479
s145,480
s145,481
s145,482
s145,444
s145,483
s145,484
s145,485
s145,486
s145,487
s145,488
s145,489
s146,478
s146,479
s146,444
s146,484
s146,483
s146,485
s146,481
s146,490
s146,491
s146,492
s147,478
s147,479
s147,481
s147,493
s147,494
s147,495
s147,496
s147,497
s147,498
s147,499
s150,500
s150,501
s150,502
s150,503
s150,504
s150,505
s150,506
s150,507
s150,508
s150,509
s150,510
s150,511
s151,512
s151,513
s151,514
s151,247
s151,515
s151,516
s151,517
s151,518
s151,519
s151,520
s151,521
s151,522
s151,523
s151,524
s151,525
s151,526
s151,527
s152,528
s152,529
s152,530
s152,531
s152,532
s152,533
s152,534
s152,535
s153,536
s153,537
s153,538
s153,539
s153,540
s156,541
s156,542
s156,543
s156,544
s156,545
s156,546
s156,547
s156,548
s156,549
s156,550
s157,423
s157,551
s157,552
s157,553
s157,554
s157,555
s157,556
s157,557
s157,558
s157,559
s157,560
s157,561
s157,562
s158,563
s158,564
s158,565
s158,566
s158,567
s158,568
s158,569
s158,570
s159,571
s159,572
s159,573
s159,574
s159,575
s159,576
s159,577
s159,578
s159,579
s159,580
s160,581
s160,532
s160,582
s160,583
s160,584
s160,585
s160,586
s160,587
s160,588
s160,589
s162,590
s162,591
s162,592
s162,593
s162,594
s162,595
s162,596
s162,597
s162,598
s162,599
s162,600
s162,405
s163,601
s163,602
s163,603
s163,604
s163,605
s163,606
s163,607
s163,608
s163,609
s163,610
s164,611
s164,612
s164,613
s164,614
s164,615
s164,616
s164,617
s164,618
s164,573
s164,619
s164,620
s165,621
s165,622
s165,623
s165,624
s165,625
s165,626
s165,627
s165,628
s165,629
s165,630
s165,631
s165,632
s165,633
s165,634
s165,635
s167,636
s167,637
s167,638
s167,639
s167,640
s167,641
s167,642
s167,432
s167,643
s167,644
s168,645
s168,646
s168,647
s168,648
s168,649
s168,650
s168,651
s168,652
s168,653
s168,654
s168,655
s169,41
s169,656
s169,657
s169,658
s169,659
s169,660
s169,661
s169,662
s170,350
s170,663
s170,664
s170,68
s170,665
s170,666
s170,667
s170,668
s170,669
s171,670
s171,671
s171,672
s171,673
s171,674
s171,675
s171,676
s171,677
s171,127
s171,678
s171,679
s171,680
s171,681
s171,682
s171,683
s171,684
s171,685
s171,686
s171,687
s171,688
s171,689
s171,690
s171,526
s171,691
s171,500
s171,692
s171,693
s171,694
s171,695
s171,696
s171,697
s171,698
s171,699
s171,700
s171,701
s171,702
s172,628
s172,402
s172,703
s172,704
s172,705
s173,706
s173,707
s173,708
s173,709
s173,710
s173,711
s173,712
s173,713
s173,714
s173,715
s173,716
s173,717
s173,718
s173,719
s174,720
s175,452
s175,721
s175,722
s175,723
s175,724
s175,725
